vendor,bag_name,notes,details,size,price
Olympia,Morning Sun,"Dark Chocolate, Molasses, Nougat","['Bourbon', 'Central America', 'El Salvador']",12 oz,$17.50
ONYX,Monarch,"Dark Chocolate, Molasses, Red Wine","['Bourbon', 'Direct Trade, Fair Trade', 'Anaerobic', '1400 - 1800 ft', 'Central America', 'Honduras']",10 oz,$18.00
Madcap,Bolt,"Chocolate, Syrupy, Red Fruit",['N/A'],10 oz,$18.00
Methodical,Belly Warmer,"Rich, Dark Chocolate, Almond","['Direct Trade', '1150 - 1900 ft', 'South America']",12 oz,$17.00
Equator,Jaguar Espresso FTO,"Hazelnut, Chocolate, Apricot","['Fair Trade, Certified Organic']",12 oz,$18.00
Boon Boona,Bereka,"Honey, Sugarcane, Spice","['Certified Organic', 'Washed', '1400 - 2000 ft', 'Africa', 'Ethiopia']",12 oz,$18.00
Verve,Bronson Blend,"Molasses, Dark Chocolate, Fig",['N/A'],12 oz,$19.75
Black & White,The Traditional,"Dark Chocolate, Cherry, Marzipan","['Washed', '1600 - 2000 ft', 'South America', 'Colombia']",12 oz,$19.00
Doma,Carmela's,"Brown Sugar, Dark Chocolate, Caramel",['South America'],12 oz,$18.25
Olympia,Morning Sun,"Dark Chocolate, Molasses, Nougat","['Bourbon', 'Central America', 'El Salvador']",250 gr,$14.00
Panther,1927 Espresso,"Dark Chocolate, Nutty, Syrupy",['N/A'],12 oz,$17.00
N/A,N/A,N/A,['N/A'],N/A,N/A
Dune,Zip Zinger,"Dark Chocolate, Rich, Stone Fruit","['Heirloom', 'Natural', '1550 - 2100 ft', 'Ethiopia']",10 oz,$16.00
Groundwork,Black Magic,"Dark Chocolate, Red Berry",['N/A'],12 oz,$16.00
Bluestone Lane,Flagstaff,"Roasted Almond, Vanilla, Chocolate","['Bourbon', 'B Corp, Cup of Excellence', 'Anaerobic', '1 - 1 ft', 'South America', 'Mexico']",12 oz,$16.00
Methodical,Blue Boy,"Chocolate, Honey, Brown Sugar","['Direct Trade', 'Washed', '1500 - 1500 ft', 'Central America', 'Guatemala']",12 oz,$18.90
Dune,House Blend,Hazelnut,"['Bourbon', 'Washed', '1550 - 1550 ft', 'Colombia']",10 oz,$16.00
Bird Rock,The Optimist Blend,"Cinnamon, Cola, Dark Chocolate",['N/A'],10 oz,$19.00
Equator,Dipsea Espresso,"Cinnamon, Dark Chocolate, Jammy","['B Corp', 'Natural', '3000 - 6550 ft', 'South America', 'Brazil']",12 oz,$16.00
ONYX,Southern Weather,"Milk Chocolate, Plum, Candied Walnuts","['Castillo', 'Washed', '1200 - 1800 ft', 'South America', 'Colombia']",10 oz,$17.50
Ruby,Portage Seasonal Blend,"Raisin, Praline, Cocoa Powder","['1250 - 1800 ft', 'South America']",12 oz,$16.00
